Date,Campaign name,adset name (optional),Spends,Impressions,clicks,Check
2023-11-06,decathlon_BE_FR_BuyBack_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_BuyBack_awa_prog_dv360__cpv_trueview_videoviews_Engager_15s__,28.32,4991,5,
2023-11-07,decathlon_BE_FR_BuyBack_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_BuyBack_awa_prog_dv360__cpv_trueview_videoviews_Engager_15s__,148.63,20189,16,
2023-11-08,decathlon_BE_FR_BuyBack_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_BuyBack_awa_prog_dv360__cpv_trueview_videoviews_Engager_15s__,601.77,67087,73,
2023-11-09,decathlon_BE_FR_BuyBack_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_BuyBack_awa_prog_dv360__cpv_trueview_videoviews_Engager_15s__,608.75,59577,55,
2023-11-10,decathlon_BE_FR_BuyBack_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_BuyBack_awa_prog_dv360__cpv_trueview_videoviews_Engager_15s__,343.75,33409,41,
2023-11-13,decathlon_BE_FR_BuyBack_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_BuyBack_awa_prog_dv360__cpv_trueview_videoviews_Engager_15s__,133.40,15271,13,
2023-11-14,decathlon_BE_FR_BuyBack_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_BuyBack_awa_prog_dv360__cpv_trueview_videoviews_Engager_15s__,562.61,53828,56,
2023-11-15,decathlon_BE_FR_BuyBack_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_BuyBack_awa_prog_dv360__cpv_trueview_videoviews_Engager_15s__,608.07,58196,62,
2023-11-16,decathlon_BE_FR_BuyBack_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_BuyBack_awa_prog_dv360__cpv_trueview_videoviews_Engager_15s__,515.65,48878,42,
2023-11-17,decathlon_BE_FR_BuyBack_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_BuyBack_awa_prog_dv360__cpv_trueview_videoviews_Engager_15s__,566.62,54405,51,
