DATE,Sample2_S,Sample2_I,Sample2_C
2023-09-25,0.0,25,0
2023-10-02,112.68,78728,731
2023-10-09,94.02,66916,524
2023-10-16,102.61,61453,500
2023-10-23,118.82,75908,598
2023-10-30,79.0,67724,499
2023-11-06,202.75,127968,676
2023-11-13,198.16,139468,756
2023-11-20,134.17,100166,552
2023-11-27,150.82,146146,488
2023-12-04,197.53,146419,458
2023-12-11,185.13,116562,406
2023-12-18,136.53,99391,400
2023-12-25,0.0,319,11
2024-01-01,180.84,120348,1045
2024-01-08,218.47,159170,1079
2024-01-15,195.57999999999998,128672,934
2024-01-22,156.93,100688,788
2024-01-29,119.31,100491,880
2024-02-05,216.78,232325,1553
2024-02-12,212.82,217289,1331
2024-02-19,184.03,192576,1175
2024-02-26,148.75,167786,928
2024-03-04,176.56,173223,1057
2024-03-11,152.37,152881,873
2024-03-18,125.1,129494,749
2024-03-25,161.28,155731,831
2024-04-01,145.0,148927,812
2024-04-08,127.93,149688,666
2024-04-15,93.29,97747,546
2024-04-22,111.14,93985,495
2024-04-29,148.39,91646,576
2024-05-06,135.81,88590,509
2024-05-13,104.86,76420,428
2024-05-20,93.72,71213,420
2024-05-27,121.88,129013,566
2024-06-03,153.02,113261,602
2024-06-10,124.00999999999999,105592,550
2024-06-17,225.51999999999998,148766,686
2024-06-24,148.45999999999998,146047,658
