Date,Campaign name,Adset name (optional),Spends,Impressions,clicks,Check
2023-10-02,,Intérêts & KW - FR,0.00,2,0,
2023-10-25,,Intérêts & KW - FR,0.00,1,0,
2023-11-01,,Intérêts & KW - FR,0.00,1,0,
2023-12-16,,Intérêts & KW - FR,0.00,1,0,
2023-12-22,,Intérêts & KW - FR,0.00,1,0,
2023-12-27,,Intérêts & KW - FR,0.00,1,0,
2024-01-08,,Intérêts & KW - FR,0.00,2,0,
2024-01-10,,Intérêts & KW - FR,0.00,4,0,
2024-01-11,,Intérêts & KW - FR,0.00,3,0,
2024-01-13,,Intérêts & KW - FR,0.00,2,0,
2024-01-14,,Intérêts & KW - FR,0.00,1,0,
2024-01-17,,Intérêts & KW - FR,0.00,2,0,
2024-01-20,,Intérêts & KW - FR,0.00,1,0,
2024-01-22,,Intérêts & KW - FR,0.00,5,0,
2024-01-23,,Intérêts & KW - FR,0.00,4,0,
2024-01-24,,Intérêts & KW - FR,0.00,3,0,
2024-01-26,,Intérêts & KW - FR,0.00,2,0,
2024-01-27,,Intérêts & KW - FR,0.00,1,0,
2024-01-28,,Intérêts & KW - FR,0.00,2,0,
2024-01-29,,Intérêts & KW - FR,0.00,3,0,
2024-01-30,,Intérêts & KW - FR,0.00,1,0,
2024-01-31,,Intérêts & KW - FR,0.00,2,0,
2024-02-01,,Intérêts & KW - FR,0.00,2,0,
2024-02-02,,Intérêts & KW - FR,0.00,2,0,
2024-02-03,,Intérêts & KW - FR,0.00,2,0,
2024-02-04,,Intérêts & KW - FR,0.00,4,0,
2024-02-05,,Intérêts & KW - FR,0.00,4,0,
2024-02-06,,Intérêts & KW - FR,0.00,3,0,
2024-02-07,,Intérêts & KW - FR,0.00,3,0,
2024-02-09,,Intérêts & KW - FR,0.00,2,0,
2024-02-13,,Intérêts & KW - FR,0.00,1,0,
2024-02-15,,Intérêts & KW - FR,0.00,1,0,
2024-02-16,,Intérêts & KW - FR,0.00,2,0,
2024-02-17,,Intérêts & KW - FR,0.00,4,0,
2024-02-20,,Intérêts & KW - FR,0.00,3,0,
2024-02-21,,Intérêts & KW - FR,0.00,6,0,
2024-02-22,,Intérêts & KW - FR,0.00,8,0,
2024-02-24,,Intérêts & KW - FR,0.00,1,0,
2024-02-26,,Intérêts & KW - FR,0.00,3,0,
2024-02-27,,Intérêts & KW - FR,0.00,6,0,
2024-02-28,,Intérêts & KW - FR,0.00,1,0,
2024-03-01,,Intérêts & KW - FR,0.00,4,0,
2024-03-03,,Intérêts & KW - FR,0.00,1,0,
2024-03-04,,Intérêts & KW - FR,0.00,2,0,
2024-03-06,,Intérêts & KW - FR,0.00,3,3,
2024-03-07,,Intérêts & KW - FR,0.00,2,0,
2024-03-09,,Intérêts & KW - FR,0.00,2,0,
2024-03-11,,Intérêts & KW - FR,0.00,1,0,
2024-03-12,,Intérêts & KW - FR,0.00,3,0,
2024-03-13,,Intérêts & KW - FR,0.00,2,0,
2024-03-14,,Intérêts & KW - FR,0.00,4,0,
2024-03-16,,Intérêts & KW - FR,0.00,5,0,
2024-03-18,,Intérêts & KW - FR,0.00,2,0,
2024-03-19,,Intérêts & KW - FR,0.00,3,0,
2024-03-20,,Intérêts & KW - FR,0.00,2,0,
2024-03-24,,Intérêts & KW - FR,0.00,2,0,
2024-03-25,,Intérêts & KW - FR,0.00,1,0,
2024-03-26,,Intérêts & KW - FR,0.00,3,0,
2024-03-27,,Intérêts & KW - FR,0.00,1,0,
2024-03-29,,Intérêts & KW - FR,0.00,3,0,
2024-03-30,,Intérêts & KW - FR,0.00,1,0,
2024-03-31,,Intérêts & KW - FR,0.00,2,0,
2024-04-01,,Intérêts & KW - FR,0.00,3,0,
2024-04-02,,Intérêts & KW - FR,0.00,2,0,
2024-04-03,,Intérêts & KW - FR,0.00,5,2,
2024-04-04,,Intérêts & KW - FR,0.00,4,0,
2024-04-05,,Intérêts & KW - FR,0.00,2,0,
2024-04-09,,Intérêts & KW - FR,0.00,3,1,
2024-04-10,,Intérêts & KW - FR,0.00,1,0,
2024-04-11,,Intérêts & KW - FR,0.00,3,0,
2024-04-12,,Intérêts & KW - FR,0.00,1,0,
2024-04-13,,Intérêts & KW - FR,0.00,7,0,
2024-04-14,,Intérêts & KW - FR,0.00,9,0,
2024-04-15,,Intérêts & KW - FR,0.00,1,0,
2024-04-16,,Intérêts & KW - FR,0.00,15,6,
2024-04-17,,Intérêts & KW - FR,0.00,4,2,
2024-04-18,,Intérêts & KW - FR,0.00,3,0,
2024-04-20,,Intérêts & KW - FR,0.00,7,0,
2024-04-22,,Intérêts & KW - FR,0.00,2,0,
2024-04-23,,Intérêts & KW - FR,0.00,3,0,
2024-04-24,,Intérêts & KW - FR,0.00,2,0,
2024-04-27,,Intérêts & KW - FR,0.00,1,0,
2024-04-28,,Intérêts & KW - FR,0.00,2,2,
2024-04-29,,Intérêts & KW - FR,0.00,12,4,
2024-04-30,,Intérêts & KW - FR,0.00,4,2,
2024-05-01,,Intérêts & KW - FR,0.00,15,0,
2024-05-02,,Intérêts & KW - FR,0.00,16,12,
2024-05-03,,Intérêts & KW - FR,0.00,7,2,
2024-05-04,,Intérêts & KW - FR,0.00,3,0,
2024-05-05,,Intérêts & KW - FR,0.00,2,2,
2024-05-06,,Intérêts & KW - FR,0.00,3,3,
2024-05-08,,Intérêts & KW - FR,0.00,5,2,
2024-05-09,,Intérêts & KW - FR,0.00,1,0,
2024-05-13,,Intérêts & KW - FR,0.00,1,0,
2024-05-14,,Intérêts & KW - FR,0.00,6,2,
2024-05-17,,Intérêts & KW - FR,0.00,3,0,
2024-05-18,,Intérêts & KW - FR,0.00,3,0,
2024-05-20,,Intérêts & KW - FR,0.00,2,0,
2024-05-21,,Intérêts & KW - FR,0.00,2,3,
2024-05-22,,Intérêts & KW - FR,0.00,4,0,
2024-05-23,,Intérêts & KW - FR,0.00,2,0,
2024-05-24,,Intérêts & KW - FR,0.00,4,3,
2024-05-27,,Intérêts & KW - FR,0.00,2,0,
2024-05-28,,Intérêts & KW - FR,0.00,44,3,
2024-05-29,,Intérêts & KW - FR,0.00,25,2,
2024-05-30,,Intérêts & KW - FR,0.00,32,0,
2024-05-31,,Intérêts & KW - FR,0.00,30,0,
2024-06-01,,Intérêts & KW - FR,0.00,15,0,
2024-06-02,,Intérêts & KW - FR,0.00,25,0,
2024-06-03,,Intérêts & KW - FR,0.00,15,0,
2024-06-04,,Intérêts & KW - FR,0.00,3,0,
2024-06-05,,Intérêts & KW - FR,0.00,7,0,
2024-06-06,,Intérêts & KW - FR,0.00,5,0,
2024-06-07,,Intérêts & KW - FR,0.00,1,0,
2024-06-08,,Intérêts & KW - FR,0.00,6,0,
2024-06-09,,Intérêts & KW - FR,0.00,3,0,
2024-06-10,,Intérêts & KW - FR,0.00,6,0,
2024-06-13,,Intérêts & KW - FR,0.00,2,0,
2024-06-17,,Intérêts & KW - FR,0.00,3,0,
2024-06-18,,Intérêts & KW - FR,0.00,1,0,
2024-06-19,,Intérêts & KW - FR,0.00,1,0,
2024-06-22,,Intérêts & KW - FR,0.00,1,0,
2024-06-24,,Intérêts & KW - FR,0.00,2,0,
2024-06-25,,Intérêts & KW - FR,0.00,8,2,
2024-06-26,,Intérêts & KW - FR,0.00,6,0,
2024-06-27,,Intérêts & KW - FR,0.00,6,0,
2024-06-28,,Intérêts & KW - FR,0.00,11,4,
2024-06-30,,Intérêts & KW - FR,0.00,5,0,
2023-10-01,,Interest & KW - FR,0.00,2,0,
2023-10-02,,Interest & KW - FR,0.00,3,0,
2023-10-03,,Interest & KW - FR,0.00,7,0,
2023-10-04,,Interest & KW - FR,0.00,1,0,
2023-10-05,,Interest & KW - FR,0.00,1,0,
2023-10-06,,Interest & KW - FR,0.00,5,0,
2023-10-07,,Interest & KW - FR,0.00,2,0,
2023-10-08,,Interest & KW - FR,0.00,2,0,
2023-10-09,,Interest & KW - FR,0.00,11,1,
2023-10-10,,Interest & KW - FR,0.00,5,0,
2023-10-11,,Interest & KW - FR,0.00,6,0,
