CHANNEL,Date,Sends,Spends,Operating system,Check
PUSH NOTIF,2023-10-12,25630,0.00,ANDROID,
PUSH NOTIF,2023-10-13,21001,0.00,ANDROID,
PUSH NOTIF,2023-10-16,21474,0.00,ANDROID,
PUSH NOTIF,2023-10-26,1296,0.00,ANDROID,
PUSH NOTIF,2023-10-26,3255,0.00,ANDROID,
PUSH NOTIF,2023-10-27,199,0.00,ANDROID,
PUSH NOTIF,2023-10-28,1564,0.00,ANDROID,
PUSH NOTIF,2023-10-31,23343,0.00,ANDROID,
PUSH NOTIF,2023-11-03,23493,0.00,ANDROID,
PUSH NOTIF,2023-11-07,23934,0.00,ANDROID,
PUSH NOTIF,2023-11-16,24611,0.00,ANDROID,
PUSH NOTIF,2023-11-23,25478,0.00,ANDROID,
PUSH NOTIF,2023-11-24,25536,0.00,ANDROID,
PUSH NOTIF,2023-11-27,25950,0.00,ANDROID,
PUSH NOTIF,2023-12-01,1526,0.00,ANDROID,
PUSH NOTIF,2023-12-01,26430,0.00,ANDROID,
PUSH NOTIF,2023-12-08,10589,0.00,ANDROID,
PUSH NOTIF,2023-12-13,27569,0.00,ANDROID,
PUSH NOTIF,2023-12-22,28475,0.00,ANDROID,
PUSH NOTIF,2024-01-03,29392,0.00,ANDROID,
PUSH NOTIF,2024-01-08,29902,0.00,ANDROID,
PUSH NOTIF,2024-01-13,667,0.00,ANDROID,
PUSH NOTIF,2024-01-17,30658,0.00,ANDROID,
PUSH NOTIF,2024-01-19,830,0.00,ANDROID,
PUSH NOTIF,2024-01-29,31574,0.00,ANDROID,
PUSH NOTIF,2024-01-29,294,0.00,ANDROID,
PUSH NOTIF,2024-01-30,2309,0.00,ANDROID,
PUSH NOTIF,2024-01-31,31452,0.00,ANDROID,
PUSH NOTIF,2024-02-03,232,0.00,ANDROID,
PUSH NOTIF,2024-02-10,32202,0.00,ANDROID,
PUSH NOTIF,2024-02-14,1989,0.00,ANDROID,
PUSH NOTIF,2024-02-15,32426,0.00,ANDROID,
PUSH NOTIF,2024-02-19,1912,0.00,ANDROID,
PUSH NOTIF,2024-02-23,32713,0.00,ANDROID,
PUSH NOTIF,2024-02-28,21332,0.00,ANDROID,
PUSH NOTIF,2024-03-01,22356,0.00,ANDROID,
PUSH NOTIF,2024-03-10,89,0.00,ANDROID,
PUSH NOTIF,2024-03-13,1821,0.00,ANDROID,
PUSH NOTIF,2024-03-14,1567,0.00,ANDROID,
PUSH NOTIF,2024-03-16,1564,0.00,ANDROID,
PUSH NOTIF,2024-03-18,33462,0.00,ANDROID,
PUSH NOTIF,2024-03-19,33471,0.00,ANDROID,
PUSH NOTIF,2024-03-22,33543,0.00,ANDROID,
PUSH NOTIF,2024-03-26,33595,0.00,ANDROID,
PUSH NOTIF,2024-03-29,2425,0.00,ANDROID,
