Date,Campaign name,Adset name (optional),Spends,Impressions,clicks,Check
2024-06-30,Decathlon Belgium - Boost post - CS - Kubb - AW - June 2024 - Inspire,Aspire-lete - NL,2.90,1470,20,
2024-06-30,Decathlon Belgium - Boost post - Pochette upcycling  - IG - AW - June 2024 - Inspire,Aspire-lete - NL,7.17,3517,8,
2024-06-30,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,Aspire-lete NL,4.43,2680,176,
2024-06-30,Decathlon Belgium - Re-Sell - May 2024 - Inspire,Aspire-lete NL,6.87,1520,3,
2024-06-30,Decathlon Belgium - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - Intercept,DMP - Football - Viewers/Buyers - NL,6.79,3056,132,
2024-06-30,Decathlon Belgium - Boost post - Pochette upcycling  - IG - AW - June 2024 - Inspire,DMP Affinity - FR & NL,25.92,10378,26,
2024-06-30,Decathlon Belgium - Re-Sell - May 2024 - Inspire,DMP Aspire-lete NL,3.79,739,,
2024-06-30,Decathlon Belgium - Buyback Kids Bike - AW - June - 2024 - Intercept,DMP Buyers Kids NL,4.57,749,22,
2024-06-30,Test - Decathlon Belgium - Buyback Kids Bike - AW - June - 2024 - Intercept,DMP Buyers Kids NL,7.67,1155,37,
2024-06-30,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,DMP Easy-active - FB - NL,0.49,205,4,
2024-06-30,Decathlon Belgium - Rent - AW - April 2024 - Intercept,DMP Easy-active - NL,0.10,32,,
2024-06-30,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,DMP Easy-active NL,0.92,405,34,
2024-06-30,Decathlon Belgium - Re-Sell - May 2024 - Inspire,DMP Expert-lete NL,1.05,213,1,
2024-06-30,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,DMP Value-exerciser - FB - NL,0.09,49,1,
2024-06-30,Decathlon Belgium - Rent - AW - April 2024 - Intercept,DMP Value-exerciser - NL,0.06,20,,
2024-06-30,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,DMP Value-exerciser - Reel - FB - NL,0.27,138,,
2024-06-30,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,DMP Value-exerciser NL,0.21,92,7,
2024-06-30,Decathlon Belgium - ASC - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - NL Campagne,Decathlon Belgium - ASC - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - NL Ensemble de publicités,83.86,27573,861,
2024-06-30,Decathlon Belgium - Advantage+ Shopping Prospecting Campaign - NL Campagne,Decathlon Belgium - Advantage+ Shopping Campaign - NL Ensemble de publicités,22.10,7567,790,
2024-06-30,Decathlon Belgium - Decathlon Shopping - Android NL - App days - download - June 2024 - intercept Campaign,Decathlon Belgium - Decathlon Shopping - Android NL - App days - download - June 2024 - intercept Ad Set,90.11,18242,53,
2024-06-30,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,Easy active - Feed - IG - NL,13.31,1304,,
2024-06-30,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,Easy active - Reel - IG - NL,2.69,506,1,
2024-06-30,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,Easy-active - FB - NL,63.85,18775,860,
2024-06-30,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,Easy-active - Reel - FB - NL,33.64,11956,65,
2024-06-30,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,Easy-active NL,63.68,31016,4276,
2024-06-30,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,Easy-active NL,95.58,36303,2289,
2024-06-30,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,Expert-lete NL,71.59,33008,3105,
2024-06-30,Decathlon Belgium - Re-Sell - May 2024 - Inspire,Expert-lete NL,27.53,4465,8,
2024-06-30,Decathlon Belgium - Boost post - CS - Rent - tente - festival - AW - June 2024 - Inspire,Festival interest - NL,40.59,17735,281,
2024-06-30,Decathlon Belgium - Boost post - Rent - tente - festival  - IG - AW - June 2024 - Inspire,Festival interest - NL,68.62,19773,46,
2024-06-30,Decathlon Belgium - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - Intercept,Football interest - NL,35.36,18135,606,
2024-06-30,Decathlon Belgium - Lifestyle Gen Z - AW - March 2024 - Intercept,Gen Z - 2024 - NL,2.77,1022,23,
2024-06-30,Decathlon Belgium - Rent - AW - April 2024 - Intercept,Interest Festival - NL,17.55,6769,353,
2024-06-30,Decathlon Belgium - (E-)Mobility - AW - February - 2024 - Intercept,"Interest Vélo route, VTT, Vélo ville - NL",1.71,788,68,
2024-06-30,Decathlon Belgium - Rent - AW - April 2024 - Intercept,Interest escapades et longs weekends - NL,1.58,729,12,
2024-06-30,Decathlon Belgium - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - Intercept,LAL (10%) - DMP - Football - Viewers/Buyers - NL,12.58,5854,231,
2024-06-30,Decathlon Belgium - Lifestyle Gen Z - AW - March 2024 - Intercept,LAL DMP Gen Z - 2024 - NL,0.10,21,,
2024-06-30,Decathlon Belgium - Lifestyle Maillots - June - 2024 - Intercept,Men NL,2.25,1120,26,
2024-06-30,Decathlon Belgium - Boost post - CS - Cornhole - AW - June 2024 - Inspire,Outdoor activity interest - NL,41.29,16417,587,
2024-06-30,Decathlon Belgium - Boost post - CS - Kubb - AW - June 2024 - Inspire,Outdoor interest - NL,65.56,32230,532,
2024-06-30,Decathlon Belgium - Buyback Kids Bike - AW - June - 2024 - Intercept,Parents NL,21.21,3361,67,
2024-06-30,Test - Decathlon Belgium - Buyback Kids Bike - AW - June - 2024 - Intercept,Parents NL,20.80,3115,63,
2024-06-30,Decathlon Belgium - Boost post - Asking UGC SUMMER  - IG - AW - June 2024 - Inspire,Sport interest - FR & NL,79.33,59075,25,
2024-06-30,Decathlon Belgium - Lifestyle Maillots - June - 2024 - Intercept,Swimming pools NL,7.95,4004,164,
2024-06-30,Decathlon Belgium - Boost post - CS - Bodyboard - AW - June 2024 - Inspire,Value-exerciser - FB - NL,40.09,14368,120,
2024-06-30,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,Value-exerciser - FB - NL,0.82,268,23,
2024-06-30,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,Value-exerciser - Feed - IG - NL,19.98,3267,,
2024-06-30,Decathlon Belgium - Boost post - Bra ajustable  - IG - AW - June 2024 - Inspire,Value-exerciser - IG - NL,54.27,12678,38,
2024-06-30,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,Value-exerciser - Reel - FB - NL,3.97,2039,4,
2024-06-30,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,Value-exerciser - Reel - IG - NL,0.40,125,,
2024-06-30,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,Value-exerciser NL,41.39,20133,1902,
2024-06-30,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,Value-exerciser NL,19.67,10664,480,
2024-06-30,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,Visitors page WOO NL,2.66,788,45,
2024-06-30,Decathlon Belgium - Lifestyle Maillots - June - 2024 - Intercept,Women NL,76.82,29030,2407,
2024-06-29,Decathlon Belgium - Boost post - CS - Kubb - AW - June 2024 - Inspire,Aspire-lete - NL,4.18,2053,25,
2024-06-29,Decathlon Belgium - Boost post - Pochette upcycling  - IG - AW - June 2024 - Inspire,Aspire-lete - NL,5.98,2734,4,
2024-06-29,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,Aspire-lete NL,4.78,2703,187,
2024-06-29,Decathlon Belgium - Re-Sell - May 2024 - Inspire,Aspire-lete NL,6.62,1111,1,
2024-06-29,Decathlon Belgium - Lifestyle - AW - January - 2024 - Intercept,Bagagerie NL,12.21,5246,294,
2024-06-29,Decathlon Belgium - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - Intercept,DMP - Football - Viewers/Buyers - NL,5.33,2160,133,
2024-06-29,Decathlon Belgium - Boost post - Pochette upcycling  - IG - AW - June 2024 - Inspire,DMP Affinity - FR & NL,21.83,8075,24,
2024-06-29,Decathlon Belgium - Re-Sell - May 2024 - Inspire,DMP Aspire-lete NL,4.11,569,2,
2024-06-29,Decathlon Belgium - Buyback Kids Bike - AW - June - 2024 - Intercept,DMP Buyers Kids NL,4.91,888,16,
2024-06-29,Test - Decathlon Belgium - Buyback Kids Bike - AW - June - 2024 - Intercept,DMP Buyers Kids NL,7.19,1284,36,
2024-06-29,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,DMP Easy-active - FB - NL,0.57,175,9,
