Date,Campaign name,Adset name (optional),Spends,Impressions,clicks,Check
2023-10-01,,Intérêts & KW - NL,0.00,2,0,
2023-10-03,,Intérêts & KW - NL,0.00,1,0,
2023-10-06,,Intérêts & KW - NL,0.00,1,0,
2023-10-07,,Intérêts & KW - NL,0.00,1,0,
2023-10-08,,Intérêts & KW - NL,0.00,1,0,
2023-10-09,,Intérêts & KW - NL,0.00,2,0,
2023-10-10,,Intérêts & KW - NL,0.00,1,0,
2023-10-11,,Intérêts & KW - NL,0.00,4,0,
2023-10-13,,Intérêts & KW - NL,0.00,2,0,
2023-10-15,,Intérêts & KW - NL,0.00,3,0,
2023-10-16,,Intérêts & KW - NL,0.00,3,0,
2023-10-18,,Intérêts & KW - NL,0.00,4,0,
2023-10-19,,Intérêts & KW - NL,0.00,3,0,
2023-10-20,,Intérêts & KW - NL,0.00,3,0,
2023-10-21,,Intérêts & KW - NL,0.00,1,0,
2023-10-22,,Intérêts & KW - NL,0.00,2,0,
2023-10-26,,Intérêts & KW - NL,0.00,1,0,
2023-10-27,,Intérêts & KW - NL,0.00,1,0,
2023-10-29,,Intérêts & KW - NL,0.00,4,1,
2023-10-30,,Intérêts & KW - NL,0.00,4,0,
2023-10-31,,Intérêts & KW - NL,0.00,3,0,
2023-11-02,,Intérêts & KW - NL,0.00,2,0,
2023-11-06,,Intérêts & KW - NL,0.00,1,0,
2023-11-07,,Intérêts & KW - NL,0.00,2,0,
2023-11-09,,Intérêts & KW - NL,0.00,1,0,
2023-11-10,,Intérêts & KW - NL,0.00,1,0,
2023-11-15,,Intérêts & KW - NL,0.00,1,0,
2023-11-16,,Intérêts & KW - NL,0.00,2,0,
2023-11-17,,Intérêts & KW - NL,0.00,1,0,
2023-11-18,,Intérêts & KW - NL,0.00,1,0,
2023-11-19,,Intérêts & KW - NL,0.00,1,0,
2023-11-26,,Intérêts & KW - NL,0.00,3,0,
2023-11-29,,Intérêts & KW - NL,0.00,2,0,
2023-12-01,,Intérêts & KW - NL,0.00,1,0,
