Date,Campaign name,Adset name (optional),Spends,Impressions,clicks,Check
2024-06-23,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,48.54,46093,134,
2024-06-22,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,45.38,43107,120,
2024-06-29,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,45.37,34859,107,
2024-06-27,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,45.32,32952,117,
2024-05-30,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,45.28,38734,111,
2024-06-16,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,44.96,39826,121,
2024-06-07,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,44.29,35755,87,
2024-06-15,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,44.21,40698,108,
2024-06-06,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,44.15,37126,96,
2024-06-02,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,44.10,39081,102,
2024-06-30,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,44.05,39489,120,
2024-06-28,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,43.56,31023,84,
2024-06-09,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,43.46,40374,117,
2024-06-05,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,43.44,38003,106,
2024-06-08,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,43.36,39852,122,
2024-06-01,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,42.78,38686,108,
2024-06-13,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,42.59,36472,95,
2024-06-04,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,42.33,38194,99,
2024-06-24,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,42.11,39712,115,
2024-06-12,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,41.97,37817,97,
2024-06-25,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,41.83,37844,96,
2024-06-14,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,41.71,35980,109,
2024-06-03,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,41.25,37808,107,
2024-05-31,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,40.85,34958,80,
2024-06-18,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,40.62,38759,76,
2024-06-10,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,40.27,35041,114,
2024-06-26,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,39.99,37325,107,
2024-06-17,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,39.62,36027,93,
2024-06-11,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,39.19,35306,79,
2024-06-19,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,37.13,32295,71,
2024-06-21,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,36.66,32390,77,
2024-06-20,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,34.99,30185,56,
2024-05-29,Decathlon Belgium - Re-Sell - Gen Z - May 2024 - Inspire,Gen Z - NL,23.17,24471,68,
2023-10-02,Decathlon Belgium - Dance - May - 2021 - See - Reach - Tik Tok,Dutch_13-65,0.00,0,0,
